Month,Suggested Publish Date,Pillar,Working Title,Search Intent,Primary Keyword Focus,Secondary Keywords,Target Persona,CTA,Supporting Asset,Internal Links To Strengthen
Mar 2026,2026-03-20,Market Intelligence,Q1 Rental Yield Flash Report: The Submarkets Surprising Everyone,Informational,nairobi rental yields 2026,"yield report kenya, apartments roi 2026",Investor/Analyst,Download Q1 report,Mini index PDF,"/blogs/price-index, /projects"
Mar 2026,2026-03-27,Sustainability & Tech,Greener Builds: Energy-Saving Specs That Reduce Service Charges,Informational,energy efficient apartments kenya,"solar kenya apartments, water recycling kenya",Cost-conscious buyer,Tour a green project,Spec sheet + OPEX model,"/projects, /blogs/green-building"
Apr 2026,2026-04-03,Due Diligence & Legal,County Approvals and NCA Compliance: What Buyers Should Ask For,Informational,nca approval kenya buyers,"county planning approval kenya, occupation certificate",Compliance-focused buyer,View approvals summary,Approvals checklist,"/projects, /blogs/legal-guides"
Apr 2026,2026-04-10,Case Study & Social Proof,Corporate Lease Win: Securing a 24‑Month Tenant at 9.2% Net Yield,Commercial,corporate lease kenya apartments,"corporate tenancy kenya, rental yield case study",Investor/Landlord,Speak to property management,Lease sample + numbers,"/to-let, /blogs/property-management"
Apr 2026,2026-04-17,Market Intelligence,"Serviced Apartments 2026: Daily, Weekly, and Monthly Rate Benchmarks",Informational,serviced apartments rates nairobi 2026,"occupancy nairobi, monthly rates kenya",Short-stay investor,View rate table,Benchmark table + map,"/projects, /blogs/serviced-apartments"
Apr 2026,2026-04-24,Construction Transparency,Snagging and Handover: The 45‑Point Checklist We Use,Transactional/Informational,apartment snagging checklist kenya,"handover checklist kenya, defects liability",New owner,Download the 45‑point checklist,Checklist PDF + demo video,"/news/handover, /projects"
May 2026,2026-05-08,Diaspora Playbook,"Summer Visit Playbook: How to Reserve, Inspect, and Close While in Kenya",Transactional/Informational,diaspora visit kenya buy property,"site visit kenya, reserve unit kenya",Diaspora visiting,Book a July site tour,Reservation flowchart,"/diaspora-investment, /projects"
May 2026,2026-05-15,Finance & Mortgages,Cash vs Mortgage vs Developer Finance: Total Cost of Ownership Compared,Commercial/Informational,developer financing kenya,"mortgage vs cash kenya, tco kenya apartments",Numbers-first buyer,Run your TCO,Interactive sheet,"/investment-calculator, /projects"
May 2026,2026-05-22,Due Diligence & Legal,"Joint Ownership, Trusts, and Inheritance: Protecting Family Assets",Informational,joint ownership kenya property,"property succession kenya, trust property kenya",Family buyer,Talk to our legal partner,Explainer + decision tree,/blogs/legal-guides
May 2026,2026-05-29,Market Intelligence,The Amenities Arms Race: Which Features Raise Rents in Nairobi 2026,Informational,best amenities apartments nairobi 2026,gym pool elevator backup generator kenya,Landlord/Investor,Compare amenities ROI,Amenity ROI ranking,"/projects, /blogs/amenities"
Jun 2026,2026-06-05,Market Intelligence,"Mid‑Year Market Update: Prices, Absorption, and Launch Pipeline",Informational,kenya real estate mid year 2026,"housing absorption kenya, project pipeline kenya",Investor/Analyst,Download mid‑year report,Charts + PDF,"/blogs/price-index, /news"
Jun 2026,2026-06-12,Due Diligence & Legal,"Finance Bill Effects on Real Estate: Taxes, Stamp Duty, and VAT",Informational,finance bill kenya real estate,"stamp duty kenya 2026, vat housing kenya",Investor,See scenarios,Policy explainer,/blogs/legal-guides
Jun 2026,2026-06-19,Construction Transparency,"MEP Matters: Power, Water, Drainage, and What Buyers Overlook",Informational,mep apartments kenya,"backup generator kenya, borehole kenya, water storage",Practical buyer,See our MEP spec,MEP diagrams,"/projects, /aboutus"
Jun 2026,2026-06-26,Case Study & Social Proof,From Deposit to Keys: A 12‑Month Off‑Plan Journey,Transactional/Informational,off plan journey kenya,"stage payments kenya, construction timeline kenya",Off‑plan buyer,Start your plan,Timeline graphic + interview,"/projects, /news"
Jul 2026,2026-07-03,Diaspora Playbook,Peak Season Booking: How to Secure the Right Unit During Your Visit,Transactional/Informational,book apartment in kenya visit,"site booking kenya, reservation fee kenya",Diaspora visiting,Reserve a slot,Booking calendar embed,"/diaspora-investment, /projects"
Jul 2026,2026-07-10,Market Intelligence,"Unlocking Nakuru: Lakeside Living, Yields, and Growth Corridors",Informational,nakuru real estate investment 2026,"lake nakuru apartments, nakuru yields",Regional investor,Explore Nakuru projects,Map + yields table,"/projects/kings-sapphire, /blogs/nakuru"
Jul 2026,2026-07-17,Construction Transparency,Façade and Waterproofing: Longevity Features That Save Owners Money,Informational,waterproofing apartments kenya,"facade systems kenya, maintenance cost apartments",Owner-occupier,View our façade spec,Detail photos + spec,"/projects, /blogs/maintenance"
Jul 2026,2026-07-24,Finance & Mortgages,"Diaspora Mortgages 2026: Banks, Rates, and Eligibility Cheatsheet",Commercial/Informational,diaspora mortgage kenya 2026,"mortgage banks kenya, eligibility kenya diaspora",Diaspora borrower,Check eligibility,Bank matrix table,"/diaspora-investment, /investment-calculator"
Aug 2026,2026-08-07,Case Study & Social Proof,Portfolio Build: How a Kenyan Abroad Hit 10% Net Yield With Two Units,Commercial/Informational,kenyan diaspora property yield,"10 percent yield kenya, property management kenya",Diaspora investor,Talk to asset management,Numbers + lease copies (redacted),"/to-let, /blogs/case-studies"
Aug 2026,2026-08-14,Due Diligence & Legal,"Service Charge Transparency: Budgets, Audits, and Owner Rights",Informational,service charge apartments kenya,"service charge audit kenya, sinking fund kenya",Owner/Landlord,See a sample budget,Service charge template,"/blogs/legal-guides, /projects"
Aug 2026,2026-08-21,Market Intelligence,Westlands vs Kilimani: Which Neighbourhood Wins in 2026,Commercial/Informational,westlands vs kilimani apartments,"best neighbourhood nairobi 2026, rent comparison",Lifestyle buyer,Compare available units,Comparison table,"/projects, /to-let"
Aug 2026,2026-08-28,Construction Transparency,"Acoustics, Lifts, and Safety: The Hidden Comfort Factors",Informational,apartment acoustics kenya,"lift standards kenya, fire safety apartments kenya",Quality-focused buyer,Read our comfort spec,Spec sheet,"/projects, /aboutus"
Sep 2026,2026-09-04,Finance & Mortgages,Remittance to Real Estate: Converting FX to Property With Minimal Fees,Informational,send money to kenya property,"forex rates kenya, remittance fees kenya",Diaspora saver,See conversion paths,Flowchart + fee table,"/diaspora-investment, /blogs/finance"
Sep 2026,2026-09-11,Market Intelligence,"Q3 Yield Update: Vacancy, Absorption, and Rent Movements",Informational,nairobi rent 2026 q3,"vacancy nairobi, absorption rate kenya",Investor/Analyst,Download Q3 report,Charts + PDF,"/blogs/price-index, /projects"
Sep 2026,2026-09-18,Due Diligence & Legal,Occupancy Certificates and Handover Docs: What Must Be in Your File,Informational,occupation certificate kenya apartments,"handover documents kenya, title transfer kenya",New owner,Get the doc checklist,Checklist PDF,"/blogs/legal-guides, /projects"
Sep 2026,2026-09-25,Case Study & Social Proof,Design That Rents: Amenity Mix That Cut Vacancy to 2%,Informational/Commercial,reduce vacancy kenya apartments,"amenities roi kenya, property management kenya",Landlord,Discuss amenity upgrades,Before/after visuals,"/to-let, /blogs/amenities"
Oct 2026,2026-10-02,Sustainability & Tech,World Habitat Month: Practical Upgrades That Lower Carbon and Bills,Informational,sustainable housing kenya 2026,"green building kenya, energy saving apartments",ESG-minded buyer,Assess a green unit,Upgrade checklist,"/blogs/green-building, /projects"
Oct 2026,2026-10-09,Market Intelligence,Affordable vs Mid‑Market vs Premium: Where Demand Is Shifting in 2026,Informational,housing demand kenya 2026,"mid market housing kenya, affordable housing trends",Analyst/Developer,See segment data,Segment chart + commentary,"/projects, /blogs/price-index"
Oct 2026,2026-10-16,Construction Transparency,"Fire Safety Done Right: Egress, Sprinklers, and Code Basics for Buyers",Informational,fire safety apartments kenya,"sprinkler standards kenya, fire escape kenya",Safety-first buyer,Review fire plan,Compliance diagram,"/projects, /aboutus"
Oct 2026,2026-10-23,Diaspora Playbook,Holiday Purchase Plan: How to Close Remotely Before December Travel,Transactional/Informational,buy apartment remotely kenya,"e-sign kenya property, remote closing kenya",Diaspora buyer,Start remote closing,Checklist + timeline,"/diaspora-investment, /projects"
Nov 2026,2026-11-06,Finance & Mortgages,"Year‑End Financing: Rate Locks, Final Approvals, and Cashflow Planning",Informational,year end mortgage kenya,"rate lock kenya, closing costs kenya",Mortgage seeker,Lock a rate,Checklist + budgeting sheet,"/investment-calculator, /blogs/finance"
Nov 2026,2026-11-13,Case Study & Social Proof,From Shell to Chic: A Fit‑Out Journey With Final Costs and Timelines,Informational,apartment fit out kenya costs,"interior design costs kenya, fitout timeline kenya",Owner-occupier,See fit‑out guide,Budget table + photo tour,"/blogs/fit-out, /projects"
Nov 2026,2026-11-20,Due Diligence & Legal,Scam Signals: 15 Red Flags When Buying Property in Kenya,Informational,property scams kenya,"how to avoid property scam kenya, fake title deed kenya",General buyer,Get the red flag list,Infographic,"/blogs/legal-guides, /diaspora-investment"
Nov 2026,2026-11-27,Market Intelligence,Holiday Let Strategy: Pricing for December to Maximise Occupancy,Informational/Commercial,holiday let nairobi pricing,"airbnb nairobi december, short let pricing kenya",Landlord/Investor,Request pricing guidance,Pricing matrix,"/to-let, /blogs/serviced-apartments"
Dec 2026,2026-12-04,Diaspora Playbook,"December in Kenya: 7 Steps to Reserve, Inspect, and Close Quickly",Transactional/Informational,buy house december kenya,"diaspora december kenya property, quick close kenya",Diaspora visitor,Book inspection,7‑step guide,"/diaspora-investment, /projects"
Dec 2026,2026-12-11,Market Intelligence,"2026 Year in Review: Prices, Yields, and the Projects That Won",Informational,kenya real estate 2026 review,"rental yield 2026 kenya, best projects 2026",Investor/Analyst,Download the annual report,Annual index PDF,"/blogs/price-index, /news"
Dec 2026,2026-12-18,Construction Transparency,Warranty and Defects Liability: What Kings Covers and For How Long,Informational,defects liability kenya apartments,"warranty apartments kenya, after sales service kenya",New owner,Log a warranty ticket,Warranty policy explainer,"/projects, /contact"
Dec 2026,2026-12-24,Case Study & Social Proof,48 Closings in 12 Months: Lessons From Our 2026 Handover Season,Informational/Commercial,apartment handover kenya 2026,"handover ceremony kenya, new homeowners kenya",General buyer,See 2026 highlights,Gallery + outcomes,"/news, /projects"
